plan_id,invoice_id,customer_id,customer_name,start_date,end_date,original_amount,installments,installment_amount,installments_paid,remaining_balance,status,created_by,handler_id,next_installment_date,last_payment_date
PLAN000166,INV0004442,CUST000445,HDFC Auto Enterprises,2024-12-12,2025-02-12,69888.74,2,34944.37,2,0.00,Completed,Pooja Mishra,REP000033,,2025-01-06
PLAN000167,INV0004458,CUST000446,Wipro Auto Enterprises,2025-01-25,2025-06-25,523498.17,5,104699.63,2,314098.91,Active,Kavita Mishra,REP000038,2025-04-25,2025-04-16
PLAN000168,INV0004501,CUST000451,Godrej Auto Enterprises,2025-01-13,2025-06-13,3105105.18,5,621021.04,3,1242042.06,Active,Anil Joshi,REP000045,2025-05-13,2025-04-08
PLAN000169,INV0004533,CUST000454,SBI Auto Enterprises,2025-04-13,2025-07-13,36332.89,3,12110.96,0,36332.89,Active,Raj Mishra,REP000021,2025-05-13,
PLAN000170,INV0004534,CUST000454,SBI Auto Enterprises,2025-03-24,2025-06-24,102877.53,3,34292.51,0,102877.53,Active,Rakesh Gupta,REP000008,2025-04-23,
PLAN000171,INV0004545,CUST000455,TCS Auto Enterprises,2024-12-03,2025-03-03,64807.42,3,21602.47,3,0.01,Completed,Priya Mishra,REP000031,,2025-04-14
PLAN000172,INV0004573,CUST000458,Hindustan Auto Enterprises,2025-02-14,2025-06-14,963883.73,4,240970.93,2,481941.87,Active,Anita Gupta,REP000016,2025-05-15,2025-03-18
PLAN000173,INV0004591,CUST000460,Tech Auto Enterprises,2025-04-17,2025-07-17,68022.33,3,22674.11,0,68022.33,Active,Pooja Mishra,REP000033,2025-05-17,
PLAN000174,INV0004594,CUST000460,Tech Auto Enterprises,2024-12-20,2025-02-20,46931.81,2,23465.90,2,0.01,Completed,Ashok Joshi,REP000050,,2025-03-12
PLAN000175,INV0004633,CUST000464,Bharti Fin Enterprises,2025-03-24,2025-06-24,98558.65,3,32852.88,0,98558.65,Active,Amit Mishra,REP000022,2025-04-23,
PLAN000176,INV0004661,CUST000467,Mahindra Fin Enterprises,2025-01-27,2025-03-27,40329.94,2,20164.97,2,0.00,Completed,Geeta Mishra,REP000040,,2025-03-06
PLAN000177,INV0004671,CUST000468,Birla Fin Enterprises,2025-01-14,2025-05-14,530250.85,4,132562.71,3,132562.72,Active,Ashok Mishra,REP000030,2025-05-14,2025-01-15
PLAN000178,INV0004673,CUST000468,Birla Fin Enterprises,2025-04-08,2025-06-08,303560.26,2,151780.13,0,303560.26,Active,Meena Mishra,REP000037,2025-05-08,
PLAN000179,INV0004695,CUST000470,JSW Fin Enterprises,2025-02-02,2025-05-02,300253.39,3,100084.46,0,300253.39,Canceled,Geeta Gupta,REP000020,,
PLAN000180,INV0004705,CUST000471,Godrej Fin Enterprises,2024-12-24,2025-02-24,95674.01,2,47837.00,2,0.01,Completed,Neha Gupta,REP000012,,2025-03-21
PLAN000181,INV0004714,CUST000472,L&T Fin Enterprises,2025-01-23,2025-04-23,303166.76,3,101055.59,2,101055.58,Active,Neha Mishra,REP000032,2025-04-23,2025-02-16
PLAN000182,INV0004723,CUST000473,ICICI Fin Enterprises,2025-02-10,2025-05-10,107239.06,3,35746.35,2,35746.36,Active,Vijay Mishra,REP000023,2025-05-10,2025-03-02
PLAN000183,INV0004734,CUST000474,SBI Fin Enterprises,2025-02-16,2025-06-16,1625315.44,4,406328.86,2,812657.72,Active,Sunil Joshi,REP000044,2025-05-17,2025-03-29
PLAN000184,INV0004757,CUST000476,Bajaj Fin Enterprises,2024-12-25,2025-02-25,92335.62,2,46167.81,0,92335.62,Defaulted,Anil Gupta,REP000005,,
PLAN000185,INV0004781,CUST000479,Indian Fin Enterprises,2025-01-17,2025-04-17,299740.11,3,99913.37,3,0.00,Completed,Geeta Gupta,REP000020,,2025-01-31
PLAN000186,INV0004784,CUST000479,Indian Fin Enterprises,2025-04-17,2025-11-17,1558567.60,7,222652.51,0,1558567.60,Active,Sunita Mishra,REP000035,2025-05-17,
PLAN000187,INV0004901,CUST000491,Godrej Power Enterprises,2025-04-04,2025-07-04,324820.75,3,108273.58,0,324820.75,Active,Amit Joshi,REP000042,2025-05-04,
PLAN000188,INV0004904,CUST000491,Godrej Power Enterprises,2025-02-28,2025-05-28,66139.24,3,22046.41,1,44092.83,Active,Geeta Gupta,REP000020,2025-04-28,2025-04-12
PLAN000189,INV0004932,CUST000494,SBI Power Enterprises,2025-01-05,2025-03-05,207910.55,2,103955.27,2,0.01,Completed,Neha Mishra,REP000032,,2025-01-27
PLAN000190,INV0004951,CUST000496,Bajaj Power Enterprises,2024-12-27,2025-03-27,840302.48,3,280100.83,3,-0.01,Completed,Pooja Mishra,REP000033,,2025-01-22
PLAN000191,INV0004961,CUST000497,HCL Power Enterprises,2025-03-23,2025-06-23,143515.34,3,47838.45,0,143515.34,Active,Geeta Gupta,REP000020,2025-04-22,
PLAN000192,INV0005041,CUST000505,HDFC Steel Enterprises,2025-04-17,2025-06-17,399715.32,2,199857.66,0,399715.32,Active,Rani Gupta,REP000014,2025-05-17,
PLAN000193,INV0005083,CUST000509,Adani Steel Enterprises,2025-04-11,2025-09-11,688950.81,5,137790.16,0,688950.81,Active,Ashok Gupta,REP000010,2025-05-11,
PLAN000194,INV0005144,CUST000515,TCS Steel Enterprises,2025-03-07,2025-05-07,36278.53,2,18139.26,1,18139.27,Active,Shalini Mishra,REP000039,2025-05-07,2025-03-31
PLAN000196,INV0005182,CUST000519,Indian Steel Enterprises,2025-01-13,2025-03-13,63642.66,2,31821.33,2,0.00,Completed,Rakesh Mishra,REP000028,,2025-02-28
PLAN000197,INV0005183,CUST000519,Indian Steel Enterprises,2024-12-13,2025-03-13,42159.12,3,14053.04,3,0.00,Completed,Raj Mishra,REP000021,,2025-03-04
PLAN000198,INV0005231,CUST000524,Bharti Textiles Enterprises,2025-01-14,2025-03-14,372193.31,2,186096.65,2,0.01,Completed,Shalini Gupta,REP000019,,2025-02-08
PLAN000199,INV0005235,CUST000524,Bharti Textiles Enterprises,2025-01-01,2025-04-01,377060.69,3,125686.90,0,377060.69,Defaulted,Sunil Gupta,REP000004,,
PLAN000200,INV0005243,CUST000525,HDFC Textiles Enterprises,2025-03-13,2025-05-13,14685.98,2,7342.99,1,7342.99,Active,Vijay Gupta,REP000003,2025-05-13,2025-03-24
PLAN000202,INV0005312,CUST000532,L&T Textiles Enterprises,2025-01-14,2025-04-14,221977.00,3,73992.33,3,0.01,Completed,Sunil Gupta,REP000004,,2025-03-16
PLAN000203,INV0005343,CUST000535,TCS Textiles Enterprises,2024-12-27,2025-04-27,1194434.62,4,298608.66,3,298608.64,Active,Ashok Joshi,REP000050,2025-04-27,2025-03-12
PLAN000204,INV0005397,CUST000540,Tech Textiles Enterprises,2025-02-25,2025-04-25,96534.45,2,48267.22,0,96534.45,Canceled,Neha Gupta,REP000012,,
PLAN000205,INV0005496,CUST000550,JSW Pharma Enterprises,2024-12-06,2025-07-06,5035467.63,7,719352.52,4,2158057.55,Active,Rani Mishra,REP000034,2025-05-06,2024-12-18
PLAN000206,INV0005581,CUST000559,Indian Pharma Enterprises,2024-12-29,2025-03-29,46960.98,3,15653.66,3,0.00,Completed,Raj Gupta,REP000001,,2025-03-08
PLAN000208,INV0005731,CUST000574,SBI Healthcare Enterprises,2025-02-11,2025-07-11,1455732.15,5,291146.43,2,873439.29,Active,Rajesh Mishra,REP000029,2025-05-12,2025-03-23
PLAN000209,INV0005773,CUST000578,Hindustan Healthcare Enterprises,2025-04-05,2025-10-05,4068472.82,6,678078.80,0,4068472.82,Active,Sanjay Gupta,REP000007,2025-05-05,
PLAN000210,INV0005795,CUST000580,Tech Healthcare Enterprises,2025-01-06,2025-08-06,2163833.47,7,309119.07,3,1236476.26,Active,Priya Gupta,REP000011,2025-05-07,2025-04-04
PLAN000211,INV0005813,CUST000582,Reliance Retail Enterprises,2025-01-01,2025-04-01,117513.47,3,39171.16,0,117513.47,Defaulted,Neha Mishra,REP000032,,
PLAN000212,INV0005865,CUST000587,Mahindra Retail Enterprises,2024-12-13,2025-04-13,5567021.43,4,1391755.36,4,-0.01,Completed,Sanjay Mishra,REP000027,,2024-12-29
PLAN000213,INV0005871,CUST000588,Birla Retail Enterprises,2025-03-10,2025-09-10,1474258.78,6,245709.80,1,1228548.98,Active,Rani Mishra,REP000034,2025-05-10,2025-04-12
PLAN000214,INV0005874,CUST000588,Birla Retail Enterprises,2025-03-20,2025-09-20,1507363.06,6,251227.18,0,1507363.06,Active,Sunil Gupta,REP000004,2025-04-19,
PLAN000215,INV0005904,CUST000591,Godrej Retail Enterprises,2025-02-24,2025-04-24,98301.96,2,49150.98,1,49150.98,Active,Amit Mishra,REP000022,2025-04-24,2025-03-11
PLAN000216,INV0005914,CUST000592,L&T Retail Enterprises,2025-03-17,2025-05-17,76522.03,2,38261.01,1,38261.02,Active,Anil Gupta,REP000005,2025-05-17,2025-04-14
PLAN000217,INV0005963,CUST000597,HCL Retail Enterprises,2025-04-17,2025-07-17,327866.60,3,109288.87,0,327866.60,Active,Neha Mishra,REP000032,2025-05-17,
PLAN000218,INV0005971,CUST000598,Hindustan Retail Enterprises,2025-03-08,2025-05-08,396722.74,2,198361.37,1,198361.37,Active,Rani Mishra,REP000034,2025-05-08,2025-04-15
PLAN000219,INV0005978,CUST000598,Hindustan Retail Enterprises,2025-01-22,2025-04-22,60884.04,3,20294.68,2,20294.68,Active,Ashok Gupta,REP000010,2025-04-22,2025-03-21
PLAN000220,INV0005985,CUST000599,Indian Retail Enterprises,2025-01-17,2025-04-17,74882.08,3,24960.69,3,0.01,Completed,Amit Joshi,REP000042,,2025-02-03
PLAN000221,INV0006013,CUST000602,Reliance Media Enterprises,2025-01-06,2025-05-06,1086740.50,4,271685.13,0,1086740.50,Canceled,Sanjay Mishra,REP000027,,
PLAN000223,INV0006044,CUST000605,HDFC Media Enterprises,2025-03-06,2025-06-06,179783.34,3,59927.78,1,119855.56,Active,Priya Gupta,REP000011,2025-05-06,2025-04-04
PLAN000224,INV0006053,CUST000606,Wipro Media Enterprises,2024-12-22,2025-02-22,409486.16,2,204743.08,0,409486.16,Defaulted,Priya Gupta,REP000011,,
PLAN000225,INV0006055,CUST000606,Wipro Media Enterprises,2025-03-02,2025-06-02,474688.02,3,158229.34,1,316458.68,Active,Rajesh Mishra,REP000029,2025-05-02,2025-03-30
PLAN000226,INV0006083,CUST000609,Adani Media Enterprises,2024-12-26,2025-02-26,344137.68,2,172068.84,2,0.00,Completed,Ashok Mishra,REP000030,,2025-04-17
PLAN000227,INV0006123,CUST000613,ICICI Media Enterprises,2025-03-12,2025-05-12,95946.22,2,47973.11,1,47973.11,Active,Anil Mishra,REP000025,2025-05-12,2025-03-13
PLAN000228,INV0006124,CUST000613,ICICI Media Enterprises,2025-02-09,2025-04-09,88831.83,2,44415.92,0,88831.83,Defaulted,Sunil Gupta,REP000004,,
PLAN000229,INV0006135,CUST000614,SBI Media Enterprises,2025-04-01,2025-07-01,65245.93,3,21748.64,0,65245.93,Active,Ashok Mishra,REP000030,2025-05-01,
PLAN000230,INV0006221,CUST000623,Infosys Telecom Enterprises,2025-04-05,2025-06-05,85258.06,2,42629.03,0,85258.06,Active,Priya Mishra,REP000031,2025-05-05,
PLAN000231,INV0006224,CUST000623,Infosys Telecom Enterprises,2025-03-08,2025-06-08,114580.63,3,38193.54,1,76387.09,Active,Sanjay Gupta,REP000007,2025-05-08,2025-03-22
PLAN000232,INV0006233,CUST000624,Bharti Telecom Enterprises,2025-03-26,2025-06-26,104658.09,3,34886.03,0,104658.09,Active,Rani Mishra,REP000034,2025-04-25,
PLAN000233,INV0006262,CUST000627,Mahindra Telecom Enterprises,2025-01-25,2025-04-25,16116.86,3,5372.29,2,5372.28,Active,Shalini Mishra,REP000039,2025-04-25,2025-02-07
PLAN000235,INV0006306,CUST000631,Godrej Telecom Enterprises,2024-11-23,2025-02-23,917507.08,3,305835.69,3,0.01,Completed,Sunita Gupta,REP000015,,2025-04-12
PLAN000236,INV0006311,CUST000632,L&T Telecom Enterprises,2025-01-15,2025-03-15,275773.16,2,137886.58,2,0.00,Completed,Ashok Gupta,REP000010,,2025-02-21
PLAN000237,INV0006314,CUST000632,L&T Telecom Enterprises,2024-12-28,2025-03-28,144734.55,3,48244.85,0,144734.55,Defaulted,Geeta Mishra,REP000040,,
PLAN000238,INV0006343,CUST000635,TCS Telecom Enterprises,2024-12-14,2025-02-14,117226.73,2,58613.36,2,0.01,Completed,Shalini Mishra,REP000039,,2024-12-25
PLAN000239,INV0006345,CUST000635,TCS Telecom Enterprises,2025-03-04,2025-06-04,97629.80,3,32543.27,1,65086.53,Active,Geeta Mishra,REP000040,2025-05-04,2025-03-27
PLAN000240,INV0006351,CUST000636,Bajaj Telecom Enterprises,2025-02-15,2025-05-15,43769.82,3,14589.94,2,14589.94,Active,Meena Mishra,REP000037,2025-05-15,2025-03-08
PLAN000242,INV0006391,CUST000640,Tech Telecom Enterprises,2025-01-30,2025-03-30,345384.80,2,172692.40,0,345384.80,Defaulted,Sanjay Mishra,REP000027,,
PLAN000243,INV0006441,CUST000645,HDFC Software Enterprises,2025-04-06,2025-06-06,176256.19,2,88128.10,0,176256.19,Active,Rajesh Gupta,REP000009,2025-05-06,
PLAN000244,INV0006496,CUST000650,JSW Software Enterprises,2025-02-11,2025-04-11,52903.11,2,26451.56,0,52903.11,Defaulted,Pooja Mishra,REP000033,,
PLAN000245,INV0006501,CUST000651,Godrej Software Enterprises,2024-11-13,2025-04-13,1200085.63,5,240017.13,5,-0.02,Completed,Amit Mishra,REP000022,,2025-03-30
PLAN000246,INV0006567,CUST000657,HCL Software Enterprises,2025-04-16,2025-09-16,718248.74,5,143649.75,0,718248.74,Active,Priya Mishra,REP000031,2025-05-16,
PLAN000247,INV0006631,CUST000664,Bharti Hardware Enterprises,2025-02-10,2025-05-10,286469.27,3,95489.76,0,286469.27,Canceled,Rahul Gupta,REP000006,,
PLAN000248,INV0006656,CUST000666,Wipro Hardware Enterprises,2025-02-05,2025-04-05,283332.20,2,141666.10,2,0.00,Completed,Kavita Gupta,REP000018,,2025-02-07
PLAN000249,INV0006661,CUST000667,Mahindra Hardware Enterprises,2025-02-12,2025-05-12,84557.34,3,28185.78,2,28185.78,Active,Amit Gupta,REP000002,2025-05-12,2025-03-21
PLAN000250,INV0006681,CUST000669,Adani Hardware Enterprises,2024-12-30,2025-03-02,85318.99,2,42659.50,0,85318.99,Defaulted,Ashok Mishra,REP000030,,
PLAN000251,INV0006691,CUST000670,JSW Hardware Enterprises,2025-01-24,2025-03-24,100044.73,2,50022.36,2,0.01,Completed,Raj Mishra,REP000021,,2025-02-02
PLAN000252,INV0006723,CUST000673,ICICI Hardware Enterprises,2025-03-14,2025-05-14,95715.32,2,47857.66,1,47857.66,Active,Sanjay Joshi,REP000047,2025-05-14,2025-04-16
PLAN000253,INV0006762,CUST000677,HCL Hardware Enterprises,2025-02-01,2025-04-01,57841.72,2,28920.86,0,57841.72,Defaulted,Vijay Joshi,REP000043,,
PLAN000254,INV0006764,CUST000677,HCL Hardware Enterprises,2025-02-11,2025-04-11,35758.83,2,17879.42,2,-0.01,Completed,Shalini Gupta,REP000019,,2025-02-20
PLAN000255,INV0006771,CUST000678,Hindustan Hardware Enterprises,2024-12-23,2025-02-23,76994.43,2,38497.21,2,0.01,Completed,Sunil Joshi,REP000044,,2025-03-27
PLAN000256,INV0006782,CUST000679,Indian Hardware Enterprises,2024-12-23,2025-03-23,21656.59,3,7218.86,3,0.01,Completed,Rakesh Mishra,REP000028,,2025-04-17
PLAN000257,INV0006784,CUST000679,Indian Hardware Enterprises,2024-12-28,2025-03-28,102792.31,3,34264.10,3,0.01,Completed,Sunil Gupta,REP000004,,2025-03-17
PLAN000258,INV0006834,CUST000684,Bharti Food Enterprises,2024-12-06,2025-02-06,465073.00,2,232536.50,2,0.00,Completed,Sunita Gupta,REP000015,,2025-03-12
PLAN000259,INV0006836,CUST000684,Bharti Food Enterprises,2025-02-26,2025-04-26,108569.33,2,54284.67,1,54284.66,Active,Kavita Mishra,REP000038,2025-04-26,2025-03-09
PLAN000260,INV0006918,CUST000692,L&T Food Enterprises,2025-02-25,2025-05-25,306481.48,3,102160.49,1,204320.99,Active,Rakesh Mishra,REP000028,2025-04-25,2025-04-09
PLAN000261,INV0006952,CUST000696,Bajaj Food Enterprises,2025-04-17,2025-07-17,79795.69,3,26598.56,0,79795.69,Active,Rajesh Gupta,REP000009,2025-05-17,
PLAN000262,INV0007054,CUST000706,Wipro Agro Enterprises,2025-04-17,2025-09-17,1007261.49,5,201452.30,0,1007261.49,Active,Rani Mishra,REP000034,2025-05-17,
PLAN000263,INV0007071,CUST000708,Birla Agro Enterprises,2024-12-11,2025-03-11,73084.35,3,24361.45,3,0.00,Completed,Anita Mishra,REP000036,,2025-04-03
PLAN000264,INV0007073,CUST000708,Birla Agro Enterprises,2025-04-07,2025-07-07,83679.53,3,27893.18,0,83679.53,Active,Ashok Mishra,REP000030,2025-05-07,
PLAN000265,INV0007104,CUST000711,Godrej Agro Enterprises,2025-02-26,2025-05-26,288361.46,3,96120.49,0,288361.46,Canceled,Sunita Gupta,REP000015,,
PLAN000266,INV0007115,CUST000712,L&T Agro Enterprises,2025-01-30,2025-04-30,200065.99,3,66688.66,2,66688.67,Active,Shalini Gupta,REP000019,2025-04-30,2025-03-12
PLAN000267,INV0007125,CUST000713,ICICI Agro Enterprises,2025-02-08,2025-05-08,105605.82,3,35201.94,2,35201.94,Active,Neha Gupta,REP000012,2025-05-08,2025-04-04
PLAN000268,INV0007151,CUST000716,Bajaj Agro Enterprises,2025-03-30,2025-08-30,541009.04,5,108201.81,0,541009.04,Active,Anil Mishra,REP000025,2025-04-29,
PLAN000269,INV0007162,CUST000717,HCL Agro Enterprises,2025-04-03,2025-06-03,22939.67,2,11469.83,0,22939.67,Active,Vijay Joshi,REP000043,2025-05-03,
PLAN000270,INV0007165,CUST000717,HCL Agro Enterprises,2024-12-12,2025-02-12,107109.00,2,53554.50,2,0.00,Completed,Meena Gupta,REP000017,,2025-02-19
PLAN000271,INV0007166,CUST000717,HCL Agro Enterprises,2025-03-25,2025-05-25,44020.23,2,22010.12,0,44020.23,Active,Meena Gupta,REP000017,2025-04-24,
PLAN000272,INV0007172,CUST000718,Hindustan Agro Enterprises,2025-01-07,2025-07-07,1555953.02,6,259325.50,3,777976.52,Active,Vijay Mishra,REP000023,2025-05-07,2025-04-10
PLAN000273,INV0007216,CUST000722,Reliance Resources Enterprises,2025-02-08,2025-04-08,476994.16,2,238497.08,2,0.00,Completed,Shalini Mishra,REP000039,,2025-03-02
PLAN000274,INV0007256,CUST000726,Wipro Resources Enterprises,2025-01-07,2025-03-07,52574.72,2,26287.36,2,0.00,Completed,Rakesh Gupta,REP000008,,2025-03-14
PLAN000275,INV0007261,CUST000727,Mahindra Resources Enterprises,2025-01-21,2025-05-21,1157292.23,4,289323.06,2,578646.11,Active,Sunita Mishra,REP000035,2025-04-21,2025-02-01
PLAN000276,INV0007326,CUST000733,ICICI Resources Enterprises,2025-04-05,2025-07-05,545113.59,3,181704.53,0,545113.59,Active,Rahul Joshi,REP000046,2025-05-05,
PLAN000277,INV0007331,CUST000734,SBI Resources Enterprises,2025-03-09,2025-07-09,519505.70,4,129876.43,1,389629.27,Active,Vijay Joshi,REP000043,2025-05-09,2025-03-29
PLAN000278,INV0007356,CUST000736,Bajaj Resources Enterprises,2025-03-28,2025-06-28,32931.57,3,10977.19,0,32931.57,Active,Ashok Mishra,REP000030,2025-04-27,
PLAN000279,INV0007362,CUST000737,HCL Resources Enterprises,2025-03-26,2025-10-26,1095070.40,7,156438.63,0,1095070.40,Active,Rani Gupta,REP000014,2025-04-25,
PLAN000280,INV0007486,CUST000749,Adani Chemicals Enterprises,2025-02-05,2025-05-05,54126.82,3,18042.27,2,18042.28,Active,Raj Mishra,REP000021,2025-05-05,2025-03-05
PLAN000281,INV0007512,CUST000752,L&T Chemicals Enterprises,2024-11-28,2025-02-28,60148.54,3,20049.51,0,60148.54,Defaulted,Rahul Mishra,REP000026,,
PLAN000282,INV0007515,CUST000752,L&T Chemicals Enterprises,2025-01-03,2025-03-03,44763.72,2,22381.86,2,0.00,Completed,Pooja Gupta,REP000013,,2025-03-24
PLAN000283,INV0007523,CUST000753,ICICI Chemicals Enterprises,2025-04-15,2025-08-15,5317309.47,4,1329327.37,0,5317309.47,Active,Neha Mishra,REP000032,2025-05-15,
PLAN000284,INV0007572,CUST000758,Hindustan Chemicals Enterprises,2025-04-02,2025-07-02,51314.73,3,17104.91,0,51314.73,Active,Sunil Joshi,REP000044,2025-05-02,
PLAN000285,INV0007615,CUST000762,Reliance Logistics Enterprises,2024-12-17,2025-03-17,48883.92,3,16294.64,3,0.00,Completed,Sanjay Mishra,REP000027,,2025-02-14
PLAN000286,INV0007652,CUST000766,Wipro Logistics Enterprises,2025-02-22,2025-05-22,107062.83,3,35687.61,1,71375.22,Active,Anita Mishra,REP000036,2025-04-22,2025-03-24
PLAN000287,INV0007663,CUST000767,Mahindra Logistics Enterprises,2025-03-03,2025-06-03,60275.68,3,20091.89,1,40183.79,Active,Amit Mishra,REP000022,2025-05-03,2025-04-17
PLAN000288,INV0007714,CUST000772,L&T Logistics Enterprises,2025-01-14,2025-03-14,487760.00,2,243880.00,2,0.00,Completed,Sanjay Joshi,REP000047,,2025-02-22
PLAN000289,INV0007722,CUST000773,ICICI Logistics Enterprises,2025-04-16,2025-06-16,51799.62,2,25899.81,0,51799.62,Active,Sunita Gupta,REP000015,2025-05-16,
PLAN000291,INV0007801,CUST000781,Tata Infrastructure Enterprises,2025-01-26,2025-03-26,215222.65,2,107611.32,2,0.01,Completed,Anita Mishra,REP000036,,2025-01-29
PLAN000292,INV0007807,CUST000781,Tata Infrastructure Enterprises,2025-03-07,2025-06-07,510049.09,3,170016.36,1,340032.73,Active,Shalini Gupta,REP000019,2025-05-07,2025-04-17
PLAN000293,INV0007812,CUST000782,Reliance Infrastructure Enterprises,2025-01-06,2025-04-06,267043.29,3,89014.43,3,0.00,Completed,Priya Gupta,REP000011,,2025-02-19
PLAN000294,INV0007813,CUST000782,Reliance Infrastructure Enterprises,2025-01-20,2025-04-20,148729.95,3,49576.65,2,49576.65,Active,Sunil Gupta,REP000004,2025-04-20,2025-03-16
PLAN000295,INV0007878,CUST000788,Birla Infrastructure Enterprises,2025-01-26,2025-03-26,44534.30,2,22267.15,2,0.00,Completed,Ashok Mishra,REP000030,,2025-02-22
PLAN000296,INV0007887,CUST000789,Adani Infrastructure Enterprises,2025-01-10,2025-04-10,89117.34,3,29705.78,3,0.00,Completed,Rani Gupta,REP000014,,2025-02-04
PLAN000297,INV0007926,CUST000793,ICICI Infrastructure Enterprises,2025-04-14,2025-06-14,319485.21,2,159742.61,0,319485.21,Active,Sunil Gupta,REP000004,2025-05-14,
PLAN000298,INV0007941,CUST000795,TCS Infrastructure Enterprises,2024-12-28,2025-05-28,1142341.86,5,228468.37,3,456936.75,Active,Amit Mishra,REP000022,2025-04-27,2025-04-12
PLAN000299,INV0008061,CUST000807,Mahindra Tech Solutions,2025-03-14,2025-07-14,1857530.35,4,464382.59,0,1857530.35,Canceled,Sunil Joshi,REP000044,,
PLAN000300,INV0008081,CUST000809,Adani Tech Solutions,2025-03-17,2025-09-17,1972889.09,6,328814.85,1,1644074.24,Active,Rahul Gupta,REP000006,2025-05-17,2025-03-30
PLAN000301,INV0008083,CUST000809,Adani Tech Solutions,2025-04-06,2025-08-06,1386490.11,4,346622.53,0,1386490.11,Canceled,Neha Mishra,REP000032,,
PLAN000302,INV0008084,CUST000809,Adani Tech Solutions,2025-02-21,2025-09-21,1072405.31,7,153200.76,1,919204.55,Active,Rakesh Joshi,REP000048,2025-04-22,2025-04-09
PLAN000303,INV0008093,CUST000810,JSW Tech Solutions,2024-12-17,2025-07-17,2017198.66,7,288171.24,4,864513.70,Active,Kavita Gupta,REP000018,2025-05-17,2025-04-17
PLAN000304,INV0008115,CUST000812,L&T Tech Solutions,2025-02-06,2025-05-06,144076.05,3,48025.35,2,48025.35,Active,Rani Gupta,REP000014,2025-05-06,2025-02-08
PLAN000305,INV0008122,CUST000813,ICICI Tech Solutions,2025-01-29,2025-04-29,394311.80,3,131437.27,2,131437.26,Active,Ashok Gupta,REP000010,2025-04-29,2025-03-05
PLAN000306,INV0008131,CUST000814,SBI Tech Solutions,2025-03-06,2025-05-06,16812.89,2,8406.44,1,8406.45,Active,Anil Joshi,REP000045,2025-05-06,2025-04-05
PLAN000307,INV0008136,CUST000814,SBI Tech Solutions,2024-12-01,2025-02-01,80323.56,2,40161.78,2,0.00,Completed,Sunil Gupta,REP000004,,2024-12-13
PLAN000308,INV0008158,CUST000816,Bajaj Tech Solutions,2025-03-19,2025-05-19,405391.40,2,202695.70,0,405391.40,Active,Meena Gupta,REP000017,2025-04-18,
PLAN000309,INV0008161,CUST000817,HCL Tech Solutions,2025-02-28,2025-05-28,77361.09,3,25787.03,1,51574.06,Active,Neha Mishra,REP000032,2025-04-28,2025-04-01
PLAN000310,INV0008191,CUST000820,Tech Tech Solutions,2025-02-12,2025-05-12,394904.80,3,131634.93,2,131634.94,Active,Sunil Mishra,REP000024,2025-05-12,2025-02-14
PLAN000311,INV0008228,CUST000823,Infosys Info Solutions,2024-12-13,2025-03-13,89756.79,3,29918.93,3,-0.00,Completed,Vijay Joshi,REP000043,,2025-03-31
PLAN000312,INV0008244,CUST000825,HDFC Info Solutions,2025-03-09,2025-05-09,78437.49,2,39218.75,1,39218.74,Active,Rajesh Gupta,REP000009,2025-05-09,2025-03-15
PLAN000313,INV0008266,CUST000827,Mahindra Info Solutions,2025-03-25,2025-05-25,221341.37,2,110670.68,0,221341.37,Active,Sunil Joshi,REP000044,2025-04-24,
PLAN000314,INV0008352,CUST000836,Bajaj Info Solutions,2025-03-19,2025-06-19,385717.86,3,128572.62,0,385717.86,Active,Rakesh Joshi,REP000048,2025-04-18,
PLAN000315,INV0008357,CUST000836,Bajaj Info Solutions,2024-12-07,2025-03-07,519180.65,3,173060.22,3,-0.01,Completed,Rajesh Joshi,REP000049,,2025-03-10
PLAN000317,INV0008383,CUST000839,Indian Info Solutions,2025-04-05,2025-07-05,253717.75,3,84572.58,0,253717.75,Active,Kavita Mishra,REP000038,2025-05-05,
PLAN000318,INV0008471,CUST000848,Birla Auto Solutions,2025-02-12,2025-04-12,68796.29,2,34398.14,0,68796.29,Defaulted,Rahul Joshi,REP000046,,
PLAN000319,INV0008484,CUST000849,Adani Auto Solutions,2025-01-02,2025-04-02,354107.19,3,118035.73,3,0.00,Completed,Anil Joshi,REP000045,,2025-03-02
PLAN000320,INV0008583,CUST000859,Indian Auto Solutions,2025-01-11,2025-03-11,196188.97,2,98094.49,2,-0.01,Completed,Sanjay Gupta,REP000007,,2025-02-10
PLAN000321,INV0008604,CUST000861,Tata Fin Solutions,2024-12-19,2025-03-19,470155.99,3,156718.66,0,470155.99,Defaulted,Shalini Gupta,REP000019,,
PLAN000322,INV0008613,CUST000862,Reliance Fin Solutions,2025-04-17,2025-07-17,350523.95,3,116841.32,0,350523.95,Active,Ashok Mishra,REP000030,2025-05-17,
PLAN000323,INV0008654,CUST000866,Wipro Fin Solutions,2025-04-16,2025-07-16,154060.82,3,51353.61,0,154060.82,Active,Sunita Mishra,REP000035,2025-05-16,
PLAN000324,INV0008681,CUST000869,Adani Fin Solutions,2025-02-13,2025-05-13,121715.80,3,40571.93,0,121715.80,Canceled,Geeta Gupta,REP000020,,
PLAN000325,INV0008702,CUST000871,Godrej Fin Solutions,2025-02-17,2025-05-17,72638.89,3,24212.96,2,24212.97,Active,Rahul Joshi,REP000046,2025-05-17,2025-03-29
